Personality Traits,Tourism Category,Travel Motivation,Travelling Concerns,Location,Place ID,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Sky Deck KL Tower,ChIJ2bGhHitIzDERu5AcQE6tHhg,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Taman Negara National Park,ChIJj2n_9tCYyTERh0_RwmJa6ZA,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,SkyBar,ChIJtYUqqdM3zDERoeZmz29cmf0,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Kapas Island,ChIJF9NOrmLrtzERZGhS8wzg4Oo,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,ESCAPE Penang,ChIJdd8lXaTDSjARYLK8T3hGW-U,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Sport Fishing Asia | Kuala Rompin Sailfish Charter,ChIJKQnQTSmJzzERfSUWvuDubMc,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Jalan Alor Night Food Street,ChIJWV51lvU3zDERCyHo6Gi0cQo,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Banjaran Hotsprings Retreat,ChIJb3e2nqryyjER2Q6ex7ccnh4,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Batu Caves,ChIJBahJiQxHzDER-Z5vs7Lrv_I,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Awana SkyWay (SkyAvenue Station),ChIJuTy0qwEUzDER1RAoi-QyA-0,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Mossy Forest,ChIJo9L1sORYyjERRIwZ7lvUuEU,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Zouk Kuala Lumpur,ChIJ4TOwR9Y3zDERsbT3J3XygCY,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Langkawi Island,ChIJ841F8w95TDAREXHzdRCifyo,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Genting SkyWorlds Theme Park,ChIJdT5P3AAUzDERy1xSx2I8xB4,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Paya Indah Wetlands,ChIJJ3O0Eji4zTERCOvcseuVnnA,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Gaya Street Market,ChIJtTcGh49pOzIRbVb66G8asPs,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Datai Langkawi,ChIJWXZGfiJxTDAR84FmKVf47oI,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Deer Cave,ChIJUXdq5GT-GDIRkzRFVWuPMM8,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,SKYTREX Adventure Langkawi,ChIJz7O4JR13TDARjbbHcj4DLqw,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Gunung Mulu National Park,ChIJHZzYUbYDGTIRKZ8z74xqVcw,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,George Town Literary Festival,ChIJW2RydCzDSjARsveCaVAMCnI,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Mabul Island,ChIJVXb0PfNMFTIRVYLSM1s8wyk,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Aquaria KLCC,ChIJM5cxndM3zDER7WuP_cN-omg,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,SkyCasino,ChIJ67ktsREVzDERqyfhH8BKfOY,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Padang Matsirat Night Market - Sunday,ChIJ4Zf0Fyx4TDARjTODBqghtF0,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,Spa Village Pangkor Laut,ChIJu_GAVAfDSjAR_Xzxt3UoEVg,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Gua Tempurung,ChIJLXS42xT7yjERos4Leo07sKw,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Gopeng White Water Rafting - Adrenaline Ventures,ChIJ4UoBbwn7yjERUc0diGiG1TE,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Bako National Park Carpark and Boat Jetty,ChIJSd85kHSs-zERi0a0M8Ss-7Y,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,MATHAF Malaysia - Thailand Halal Food Festival,ChIJ28ob1w43zDER1et8x-twmOc,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Batu Ferringhi Beach,ChIJ7UncVgjoSjARkKYoZ2QZCCk,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Lost World of Tambun,ChIJ35wnylvtyjERLbv82zwlikA,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,National Stadium Bukit Jalil,ChIJRd6Qa5ZKzDERpnaQSpbCpDk,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Jonker Street Night Market,ChIJoRLcf9vx0TER1Pvh6N7VIco,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Chateau Spa & Wellness Resort,ChIJ6-HeNitIzDER6dHUj8EzUfA,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Barracuda Point,ChIJ____z_80FTIRKkvKVuF4pro,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Sunway Lagoon,ChIJJTHt3YhMzDERvM3wesdMZds,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Kilim River Tourism Jetty,ChIJcei-0Cx8TDARCoOp8m_G6do,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Pahlawan Walk Night Market,ChIJU6ujwubx0TERkO5yIO7sZaQ,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Pantai Tusan Bekenu,ChIJQ-sxjWZIHzIRbDZPBS_UM6s,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Langkawi Wildlife Park,ChIJ0YoGsnx-TDAR7EHhgtrtkLY,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Penn Endurance & Equestrian Club a.k.a Pahang International Endurance Park,ChIJNVJaQe2ayDERJR6oHxgBuXg,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Penang International Food Festival (PIFF),ChIJfa44pqbDSjARmQLnBv8AqLY,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,One&Only Desaru Coast,ChIJi0FYI0hL2jER_u936hhD6nY,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Lata Kinjang Falls,ChIJc3OtBfYByzERvIok_hMCAzo,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,ATV Adventure Park Kuala Lumpur,ChIJfxaAH7k5zDERpHKd-9cjJJw,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Fraser’s Hill (Bukit Fraser),ChIJR051gOT0yzER3Oa5Z6IlRd8,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Changkat Avenue,ChIJJY55Qyo2zDERNq-yid47cH4,,
